"","School.Year","Borough","Geographical.District.Code","Register","X..Schools","Major.N","Oth.N","NoCrim.N","Prop.N","Vio.N"
"145","2013-14","K",20,"993",1,"0","1","1","1","0"
"146","2013-14","K",20,"1,501",2,"1","4","0","3","1"
"147","2013-14","K",17,"1,044",1,"1","4","2","1","3"
"148","2013-14","K",23,"500",4,"0","0","1","0","0"
"149","2013-14","K",23,"571",1,"1","0","2","0","1"
"150","2013-14","K",20,"723",1,"0","0","0","0","0"
"151","2013-14","K",20,"958",1,"1","2","1","2","0"
"152","2013-14","K",21,"540",1,"1","0","2","1","0"
"153","2013-14","K",17,"1,188",1,"0","2","3","0","1"
"154","2013-14","K",19,"350",2,"1","1","1","2","0"
"155","2013-14","K",17,"223",1,"1","1","1","2","0"
"156","2013-14","K",20,"617",1,"0","1","0","1","0"
"157","2013-14","K",22,"873",1,"2","0","0","2","0"
"158","2013-14","K",22,"455",1,"1","0","0","1","0"
"159","2013-14","K",22,"459",1,"0","0","0","0","0"
"160","2013-14","K",14,"152",1,"0","0","0","0","0"
"161","2013-14","K",14,"630",2,"0","2","1","1","0"
"162","2013-14","K",22,"929",2,"0","2","1","1","0"
"163","2013-14","K",22,"511",1,"0","0","0","0","0"
"164","2013-14","K",21,"481",1,"0","0","0","0","0"
"165","2013-14","K",20,"1,335",1,"0","1","0","1","0"
"166","2013-14","K",20,"1,437",1,"0","1","0","0","1"
"167","2013-14","K",19,"683",2,"1","2","13","2","1"
"168","2013-14","K",22,"775",1,"2","3","1","2","2"
"169","2013-14","K",20,"1,166",1,"0","0","0","0","0"
"170","2013-14","K",20,"1,098",1,"0","0","0","0","0"
"171","2013-14","K",22,"1,393",1,"1","1","1","1","1"
"172","2013-14","K",22,"1,272",1,"0","0","0","0","0"
"173","2013-14","K",21,"696",1,"0","0","0","0","0"
"174","2013-14","K",17,"631",2,"0","1","2","1","0"
"175","2013-14","K",18,"703",2,"0","3","3","2","1"
"176","2013-14","K",21,"678",1,"0","0","1","0","0"
"177","2013-14","K",19,"440",1,"0","2","4","2","0"
"178","2013-14","K",19,"991",1,"0","0","0","0","0"
"179","2013-14","K",21,"959",1,"1","0","1","1","0"
"180","2013-14","K",21,"623",1,"0","0","0","0","0"
"181","2013-14","K",22,"1,302",1,"1","1","0","1","1"
"182","2013-14","K",19,"797",3,"1","3","17","3","1"
"183","2013-14","K",18,"559",1,"0","0","0","0","0"
"184","2013-14","K",20,"1,400",1,"0","3","1","2","1"
"185","2013-14","K",17,"450",2,"1","1","0","1","1"
"186","2013-14","K",22,"865",1,"0","0","0","0","0"
"187","2013-14","K",20,"1,427",2,"0","3","3","1","2"
"188","2013-14","K",19,"595",1,"0","4","6","1","2"
"189","2013-14","K",19,"689",1,"0","0","0","0","0"
"190","2013-14","K",21,"1,329",2,"0","1","3","1","0"
"191","2013-14","K",21,"995",1,"0","0","0","0","0"
"192","2013-14","K",20,"1,314",1,"0","1","6","0","1"
"193","2013-14","K",21,"1,048",1,"0","1","3","0","1"
